SPDR S&P 500 ETF Trust,Last: 497.71,Change:  -0.39
Feb 8 2024 at 11:23 AM EST,497.7,497.71,Size: 17*14,Volume: 10,598,673
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Feb 08 2024,SPY240208C00417000,0,0,80.6,80.83,0,0,0.9994,0.0001,0,417.00,SPY240208P00417000,0.01,0,0,0.01,0,2.2573,-0.0006,0.0001,15
Thu Feb 08 2024,SPY240208C00418000,0,0,79.54,79.83,0,0,0.9994,0.0001,0,418.00,SPY240208P00418000,0.01,0.005,0,0.01,1,2.2289,-0.0006,0.0001,201
Thu Feb 08 2024,SPY240208C00419000,0,0,78.54,78.83,0,0,0.9994,0.0001,0,419.00,SPY240208P00419000,0.03,0,0,0.01,0,2.2005,-0.0006,0.0001,11
Thu Feb 08 2024,SPY240208C00420000,77.8,-0.385,77.53,77.89,1,0,0.9994,0.0001,1,420.00,SPY240208P00420000,0.01,0,0,0.01,0,2.1722,-0.0006,0.0001,12
Thu Feb 08 2024,SPY240208C00421000,0,0,76.53,76.89,0,0,0.9994,0.0001,0,421.00,SPY240208P00421000,0,0,0,0.01,0,2.1439,-0.0006,0.0001,0
Thu Feb 08 2024,SPY240208C00422000,0,0,75.53,75.89,0,0,0.9993,0.0001,0,422.00,SPY240208P00422000,0.03,0,0,0.01,0,2.1157,-0.0007,0.0001,115
Thu Feb 08 2024,SPY240208C00423000,0,0,74.53,74.9,0,0,0.9993,0.0001,0,423.00,SPY240208P00423000,0,0,0,0.01,0,2.0875,-0.0007,0.0001,0
Thu Feb 08 2024,SPY240208C00424000,0,0,73.53,73.9,0,0,0.9993,0.0001,0,424.00,SPY240208P00424000,0.02,0,0,0.01,0,2.0594,-0.0007,0.0001,18
Thu Feb 08 2024,SPY240208C00425000,68.78,0,72.53,72.9,0,0,0.9993,0.0001,4,425.00,SPY240208P00425000,0.02,0,0,0.01,0,2.0313,-0.0007,0.0001,430
Thu Feb 08 2024,SPY240208C00426000,0,0,71.53,71.9,0,0,0.9993,0.0001,0,426.00,SPY240208P00426000,0.01,0.005,0,0.01,1,2.0032,-0.0007,0.0001,14
Thu Feb 08 2024,SPY240208C00427000,70.93,-0.315,70.53,70.9,2,0,0.9993,0.0001,2,427.00,SPY240208P00427000,0.01,0,0,0.01,0,1.9752,-0.0007,0.0001,1
Thu Feb 08 2024,SPY240208C00428000,0,0,69.53,69.9,0,0,0.9993,0.0001,0,428.00,SPY240208P00428000,0.01,0,0,0.01,0,1.9473,-0.0007,0.0001,118
Thu Feb 08 2024,SPY240208C00429000,0,0,68.53,68.9,0,0,0.9992,0.0001,0,429.00,SPY240208P00429000,0.01,0,0,0.01,0,1.9193,-0.0008,0.0001,118
Thu Feb 08 2024,SPY240208C00430000,67.79,-0.405,67.53,67.9,1,0,0.9992,0.0001,1,430.00,SPY240208P00430000,0.01,0,0,0.01,0,1.8914,-0.0008,0.0001,207
Thu Feb 08 2024,SPY240208C00431000,53.37,0,66.53,66.9,0,0,0.9992,0.0001,1,431.00,SPY240208P00431000,0.01,0,0,0.01,0,1.8636,-0.0008,0.0001,175
Thu Feb 08 2024,SPY240208C00432000,0,0,65.53,65.9,0,0,0.9992,0.0001,0,432.00,SPY240208P00432000,0.01,0,0,0.01,0,1.8358,-0.0008,0.0001,30
Thu Feb 08 2024,SPY240208C00433000,0,0,64.54,64.9,0,0,0.9992,0.0001,0,433.00,SPY240208P00433000,0.01,0,0,0.01,0,1.808,-0.0008,0.0001,1
Thu Feb 08 2024,SPY240208C00434000,0,0,63.54,63.9,0,0,0.9992,0.0001,0,434.00,SPY240208P00434000,0,0,0,0.01,0,1.7803,-0.0008,0.0001,0
Thu Feb 08 2024,SPY240208C00435000,62.8,-0.395,62.54,62.9,1,0,0.9992,0.0001,1,435.00,SPY240208P00435000,0.01,0,0,0.01,0,1.7526,-0.0008,0.0001,67
Thu Feb 08 2024,SPY240208C00436000,0,0,61.54,61.9,0,0,0.9992,0.0001,0,436.00,SPY240208P00436000,0.02,0,0,0.01,0,1.7249,-0.0008,0.0001,210
Thu Feb 08 2024,SPY240208C00437000,0,0,60.53,60.9,0,0,0.9991,0.0001,0,437.00,SPY240208P00437000,0.01,0,0,0.01,0,1.6973,-0.0009,0.0001,17
